num,x,y
1,75.4475,71.533
2,64.8311,58.443
3,28.9719,22.094
4,86.3473,15.617
5,67.7184,6.124
6,69.9889,32.636
7,133.4881,82.526
8,115.167,32.066
9,40.0202,50.865
10,130.0434,46.067
11,103.6393,82.824
12,56.0499,109.804
13,63.8343,73.143
14,97.1342,84.668
15,107.7322,113.572
16,17.4472,89.048
17,108.5014,24.942
18,52.2389,34.532
19,20.3295,112.133
20,35.0138,9.328
21,109.8858,55.087
22,27.3137,76.375
23,87.0777,4.401
24,93.9767,36.631
25,70.5409,82.217
26,127.73,47.505
27,122.8174,108.967
28,18.2041,24.086
29,65.2854,94.212
30,91.4389,28.536
31,57.7032,71.605
32,40.6278,83.917
33,30.3153,109.292
34,78.4237,33.009
35,115.7858,89.712
36,81.6009,27.22
37,38.772,128.572
38,21.7417,46.238
39,124.0282,30.055
40,25.564,30.175
41,122.6886,111.452
42,19.6126,45.025
43,25.9395,39.869
44,37.7751,8.413
45,123.5316,68.182
46,110.9693,41.262
47,125.846,82.124
48,64.1942,42.375
49,84.2848,83.53
50,5.6917,84.933
51,65.1762,29.834
52,26.1431,26.56
53,104.1159,57.586
54,16.3752,74.021
55,108.5323,81.506
56,125.3862,70.678
57,27.9317,19.865
58,13.8127,102.298
59,91.3068,131.259
60,28.8868,81.129
61,110.117,20.579
62,131.7915,87.656
63,91.0754,60.746
64,94.4063,10.058
65,97.0022,120.65
66,114.6038,87.453
67,31.1611,81.25
68,49.9434,31.647
69,64.5237,65.489
70,75.4146,112.407
71,110.576,28.021
72,75.893,0
73,130.4393,36.812
74,100.9599,94.27
75,63.7232,83.411
76,36.3021,45.899
77,84.4966,121.648
78,13.1323,34.463
79,40.5125,107.787
80,70.5058,46.378
81,132.093,66.615
82,31.7424,34.854
83,105.7465,61.035
84,125.4818,75.563
85,46.7821,68.491
86,92.1905,44.901
87,106.3117,69.377
88,67.8802,74.408
89,103.373,115.022
90,63.2403,107.786
91,72.6287,13.108
92,97.5906,50.121
93,52.4211,106.412
94,43.3072,16.202
95,15.8689,36.722
96,82.5616,26.13
97,39.4683,50.103
98,78.2322,7.002
99,117.2772,20.818
100,75.8132,30.291
101,85.2841,44.298
102,57.0645,87.245
103,50.4447,100.009
104,45.9459,22.337
105,69.1723,29.409
